"Awarding Office","FAIN","Award Number","Recipient Name","Action Date (Date Terminated)","Total Amount Obligated","Total Amount Expended","Total Payment Amount (As of Termination)","Unliquidated Obligations (As of Termination)","Award Title","Presidential Action","For Cause (Put X if applicable)","nan","nan","nan","Download Date"
"ACF","90CA1896","90CA1896","American Bar Association","2025-02-20","500000.00","99362.99","","","Michigan Stop Overreporting Our People (Mi Stop)","N/A - Termination for Cause","X","","","","2025-03-29"
"NIH","C06OD030152","1C06OD030152-01","Columbia University","2025-03-12","8000000.00","8000000.00","","","Creation Of An Institutional Biobanking Facility","N/A - Departmental Authority","","","","","2025-03-29"
"NIH","C06OD034040","1C06OD034040-01","Whitman-Walker Institute, Inc.","2025-03-21","2000000.00","666957.31","","1333042.69","Developing A Community-Based Facility To Support Next Generation Biomedical Hiv Research","N/A - Departmental Authority","","","","","2025-03-29"
"NIH","C06OD034042","1C06OD034042-01","Meharry Medical College","2025-03-21","2000000.00","109460.26","","1890539.74","Meharry Hiv/Aids Research And Training Facility","N/A - Departmental Authority","","","","","2025-03-29"
"NIH","DP2DA058436","1DP2DA058436-01","University Of Central Florida","2025-03-14","2280000.00","269080.94","","2010919.06","Entrust - Economic Navigation And Strengthening To Realize Unrestricted Services For Transgender Women","N/A - Departmental Authority","","","","","2025-03-29"
"NIH","DP2MH132938","1DP2MH132938-01","University Of Florida","2025-03-21","1444190.00","726316.67","","717873.33","Transdiagnostic Intervention To Reduce Internalized Health-Related Stigma","N/A - Departmental Authority","","","","","2025-03-29"
"NIH","DP2MH132941","1DP2MH132941-01","Harvard University","2025-03-14","1521000.00","1521000.00","","","The Optics Of Health: Race Skin Tone Minority Health And Health Disparities In The U.S.","N/A - Departmental Authority","","","","","2025-03-29"
"NIH","DP5OD037400","1DP5OD037400-01","Columbia University","2025-03-14","411250.00","","","411250.00","The Behavioral Cost Of Carbon","N/A - Departmental Authority","","","","","2025-03-29"
"NIH","F31AA031420","1F31AA031420-01A1","University Of Tennessee Knoxville","2025-03-19","48974.00","34424.71","","14549.29","Examining Proximal Associations Between Minority Stress Ptsd Symptoms And Alcohol Use Among Bi+ College Students With Trauma Histories","N/A - Departmental Authority","","","","","2025-03-29"
"NIH","F31AA031605","1F31AA031605-01","University Of Memphis","2025-03-18","40769.00","31143.20","","9625.80","A Mixed Methods Study To Enhance Alcohol Treatment Help-Seeking And Engagement Among Gender Diverse Adults","N/A - Departmental Authority","","","","","2025-03-29"
"NIH","F31AA031618","1F31AA031618-01","University Of Nebraska Lincoln","2025-03-18","48974.00","33485.24","","15488.76","Post-Traumatic Stress And Alcohol Use As Mechanisms Explaining Ipv Among Bisexual Women Who Disclose Sexual Violence To Partners: Examining Minority Stress As A Moderator","N/A - Departmental Authority","","","","","2025-03-29"
"NIH","F31AG090071","1F31AG090071-01","Columbia University","2025-03-14","48974.00","44270.00","","4704.00","The Impact Of Alzheimer'S Disease On Novel Genetic Signatures Of Hippocampal Memory Traces","N/A - Departmental Authority","","","","","2025-03-29"
"NIH","F31AI176760","1F31AI176760-01A1","Columbia University","2025-03-14","48974.00","48974.00","","","Host Factors Required By Human Parainfluenza Virus 3: Determinants Of Entry And Viral Spread","N/A - Departmental Authority","","","","","2025-03-29"
"NIH","F31AI176851","1F31AI176851-01A1","Columbia University","2025-03-14","36053.00","33701.00","","2352.00","Investigating The Potential Of Wastewater Surveillance Data To Improve Sars- Cov-2 Dynamical Modeling And Forecasting","N/A - Departmental Authority","","","","","2025-03-29"
"NIH","F31AI178878","1F31AI178878-01A1","Johns Hopkins University","2025-03-10","48974.00","38375.25","","10598.75","Epidemiological Factors Related To Human Monkeypox Virus (Mpox) In Men Who Have Sex With Men (Msm) In The United States","N/A - Departmental Authority","","","","","2025-03-29"
"NIH","F31AI181431","1F31AI181431-01A1","University Of Washington","2025-03-18","48974.00","32441.80","","16532.20","Prevention Of Chlamydia Trachomatis Infections: Evaluation Of Vaccination And Post-Exposure Prophylactic Antibiotic Use As Population-Level Strategies","N/A - Departmental Authority","","","","","2025-03-29"
"NIH","F31AI181556","1F31AI181556-01","Columbia University","2025-03-14","48974.00","44270.00","","4704.00","Mechanistic Insights Into Lipid A Modification By The Phosphoethanolamine Transferase Mcr-1","N/A - Departmental Authority","","","","","2025-03-29"
