award_date,grant_number
2016-01-01,1R21AI122330-01
2016-01-01,1F32HD086986-01
2016-01-01,5R01DK100584-03
2016-01-01,5F32AG046039-02
2016-01-01,4R01GM104990-04
2016-01-01,4R01CA174206-04
2016-01-01,1F31AI120487-01A1
2016-01-01,2R01AI048927-17
2016-01-01,2R01CA028332-35A1
2016-01-01,4U54NS081763-04
2016-01-01,4U54NS081763-04
2016-01-01,4U54NS081763-04
2016-01-01,4U54NS081763-04
2016-01-01,7R01HL115294-03
2016-01-01,1U13OD021319-01
2016-01-01,1R21DC015003-01
2016-01-01,2R01MH093354-05
2016-01-01,4U54NS081763-04
2016-01-01,4R01CA021776-37
2016-01-01,5R01DK100623-03
2016-01-01,1R01AI121252-01
2016-01-01,5F31CA196052-02
2016-01-01,4R01NS031680-18
2016-01-01,2R01GM079656-09
2016-01-01,4R01HL112618-05
2016-01-01,5R01MH104512-02
2016-01-01,1R01GM114355-01A1
2016-01-01,1R01CA194263-01A1
2016-01-01,5R01HL120920-03
2016-01-01,5R01HL121267-03
2016-01-01,1R01HL122421-01A1
2016-01-01,4R01HD072077-04
2016-01-01,1R21AI122211-01
2016-01-01,1R01HD086124-01
2016-01-01,5K01HL121010-03
2016-01-01,1R01GM117189-01
2016-01-01,5R01MH102951-03
2016-01-01,1R21CA201735-01
2016-01-01,1R01GM117437-01
2016-01-02,5R01HD079009-02
2016-01-02,4R01MH093479-05
2016-01-04,5R01AI116379-02
2016-01-04,1F32HL131079-01
2016-01-04,4R01NS075157-05
2016-01-04,5U01AI110397-02
2016-01-04,5F32AI109857-03
2016-01-04,4R01AI044902-15
2016-01-04,1R21AI117247-01A1
2016-01-04,1R01CA196215-01A1
2016-01-04,1R01DC015111-01
2016-01-04,5T37MD001425-19
2016-01-04,5R21AI115106-02
2016-01-04,4R01HD075712-03
2016-01-04,1R21AI122338-01
2016-01-04,5R21AI113407-02
2016-01-04,5R37GM067152-14
2016-01-04,9R01GM115921-22
2016-01-04,1R21AI121885-01
2016-01-04,3R35CA197737-01S1
2016-01-04,5R21CA191009-02
2016-01-04,4R01HD052762-09
2016-01-04,4R01AI044486-16
2016-01-04,5R01AI107159-03
2016-01-04,5R01CA180758-03
2016-01-04,5K08AI114958-02
2016-01-04,1R01HL127342-01A1
2016-01-05,5R01CA181189-03
2016-01-05,3U01CA168409-04S1
2016-01-05,5R01NS065926-06
2016-01-05,2P60AA010760-21
2016-01-05,5R01NS088432-02
2016-01-05,2P60AA010760-21
2016-01-05,5P50AA011999-18
2016-01-05,1R13AI122289-01
2016-01-05,4R01GM098956-06
2016-01-05,3U2GPS002182-05S2
2016-01-05,3U2GGH001358-01S2
