"Download Date","Awarding Office","FAIN","Award Number","Recipient Name","Action Date (Date Terminated)","Total Amount Obligated","Total Amount Expended","Total Payment Amount (As of Termination)","Unliquidated Obligations (As of Termination)","Award Title","Presidential Action","For Cause (Put X if applicable)","Organization_City","Organization_State","Organization_Country","PI_Names","Funding_Institutes","Project_Terms"
"2025-04-09","ACF","90CA1896","90CA1896","American Bar Association","2025-02-20","500000.00","99362.99","99362.99","400637.01","Michigan Stop Overreporting Our People (Mi Stop)","N/A - Termination for Cause","X","","","","","",""
"2025-04-09","FDA","U01FD005937","5U01FD005937-09","World Health Organization","2025-01-28","255000.00","255000.00","255000.00","","Global Food Safety Intiatives And Scientific Advice","N/A - Departmental Authority","-","","","","","",""
"2025-04-09","FDA","U01FD007503","5U01FD007503-04","World Health Organization","2025-01-28","1715000.00","","","1715000.00","Collaboration In Regulatory Systems Strengthening And Standardization Activities To Increase Global Access To Safe And Effective Biological Products.","N/A - Departmental Authority","-","","","","","",""
"2025-04-09","FDA","U01FD008391","1U01FD008391-01","World Health Organization","2025-01-28","750000.00","264486.00","264486.00","485514.00","Strengthen Regulatory Systems To Improve Global Food And Medical Product Quality And Safety.","N/A - Departmental Authority","-","","","","","",""
"2025-04-09","FDA","U01FD007878","5U18FD007878-02","World Health Organization","2025-01-28","400000.00","124387.00","124387.00","275613.00","Building Research Capacity In Global Tobacco Product Regulation Program","N/A - Departmental Authority","-","","","","","",""
"2025-04-09","FDA","U01FD007886","1U01FD007886-01","Texas Women'S University","2025-03-27","500000.00","59438.61","","59438.61","Mitigating The Spread Of Misinformation And Disinformation About Covid-19 Prevention And Treatment Initiatives Among Hispanics","N/A - Termination for Cause","X","DENTON","TX","UNITED STATES","Rigoberto I Delgado","FDA - Food and Drug Administration",""
"2025-04-09","FDA","U01FD007884","1U01FD007884-01","University Of Maryland Baltimore","2025-03-27","499998.00","478757.29","478757.29","21240.71","Community-Defined Measures To Bridge Health Equity Gaps For Covid 19: Small Town And Rural Needs","N/A - Termination for Cause","X","BALTIMORE","MD","UNITED STATES","CLAUDIA R0SE BAQUET; Michelle  Medeiros","FDA - Food and Drug Administration",""
"2025-04-09","FDA","U01FD007776","1U01FD007776-01","Indiana State University","2025-03-27","115565.00","82218.45","","53346.55","Examining Misinformation Correction Strategies To Encourage Clinical Trial Participation Among Black Americans","N/A - Termination for Cause","X","TERRE HAUTE","IN","UNITED STATES","Hyosun  kim","FDA - Food and Drug Administration",""
"2025-04-09","NIH","C06OD030152","1C06OD030152-01","Columbia University","2025-03-12","8000000.00","","8000000.00","","Creation Of An Institutional Biobanking Facility","N/A - Departmental Authority","-","NEW YORK","NY","UNITED STATES","Muredach P Reilly","OD - NIH Office of the Director","Aging; Alzheimer's Disease; AD dementia; Alzheimer; Alzheimer Type Dementia; Alzheimer disease; Alzheimer sclerosis; Alzheimer syndrome; Alzheimer's; Alzheimer's disease dementia; Alzheimers Dementia; Alzheimers disease; Primary Senile Degenerative Dementia; dementia of the Alzheimer type; primary degenerative dementia; senile dementia of the Alzheimer type; Biotechnology; Biotech; Malignant Neoplasms; Cancers; Malignant Tumor; malignancy; neoplasm/cancer; Cardiovascular Diseases; cardiovascular disorder; cold temperature; low temperature; Engineering; Freezing; Graft Rejection; Transplant Rejection; Transplantation Rejection; Health; Human; Modern Man; Human Activities; Immunity; Equipment and supply inventories; Inventory; Laboratories; Longevity; Length of Life; life span; lifespan; United States National Institutes of Health; NIH; National Institutes of Health; nervous system disorder; Nervous System Diseases; Neurologic Disorders; Neurological Disorders; neurological disease; Patients; Research; Research Personnel; Investigators; Researchers; Research Support; Temperature; Toxic Environmental Substances; Environmental Toxin; Toxic Environmental Agents; environmental toxicant; Universities; Treatment Effectiveness; Clinical; Ensure; Susceptibility; Predisposition; Discipline; Sample Size; Funding; fluid; liquid; Liquid substance; Genetic; Exposure to; Deposit; Deposition; Research Specimen; Specimen; mechanical; Mechanics; System; Medical center; Participant; research study; Sampling; Grant Proposals; Applications Grants; Clinical Data; biorepository; biobank; Secure; precision-based medicine; precision medicine; Precision Medicine Initiative; Infrastructure"
"2025-04-09","NIH","C06OD034040","1C06OD034040-01","Whitman-Walker Institute, Inc.","2025-03-21","2000000.00","666957.31","666957.31","1333042.69","Developing A Community-Based Facility To Support Next Generation Biomedical Hiv Research","N/A - Departmental Authority","-","WASHINGTON","DC","UNITED STATES","H. Jonathon  Rendina","OD - NIH Office of the Director","Acquired Immunodeficiency Syndrome; AIDS; Acquired Immune Deficiency; Acquired Immune Deficiency Syndrome; Acquired Immuno-Deficiency Syndrome; Acquired Immunologic Deficiency Syndrome; Award; Clinical Research; Clinical Study; Communities; comorbidity; co-morbid; co-morbidity; Epidemic; Goals; HIV; AIDS Virus; Acquired Immune Deficiency Syndrome Virus; Acquired Immunodeficiency Syndrome Virus; Human Immunodeficiency Viruses; LAV-HTLV-III; Lymphadenopathy-Associated Virus; Virus-HIV; Mentorship; Neighborhoods; Pharmacies; Pharmacy facility; Public Health; Research; Investigators; Researchers; Research Personnel; Science; Translations; Universities; Walkers; Washington; Work; Healthcare; health care; base; Policies; Funding; Collaborations; programs; Investigation; Protocol; Protocols documentation; Country; sq. ft; square foot; social space; research facility; sterile; Sterility; Prevention; behavioral health; Institution; ward; Sum; Translational Research; Translational Science; translation research; socioeconomics; socio-economic; socio-economically; socioeconomically; efficacy research; next generation; Clinical Trials Unit; health inequalities; Health Inequity; Inequalities in Health; Inequities in Health; public health research; co-infection; coinfection; racial disparity; disparities in race; race disparity; racial inequality; racial inequity; racially unequal; community center; training opportunity; clinical center; underserved community; under served community; Home; marginalized community; community marginalization"
